Input_Text,Process_Text,Status,Before Replace,After Replace
"09612345678ডিজিটাল  1 6 2 2 2 রেজিস্ট্রেশন০৯৬১২৩৪৫৬৭৮, ডিজিটাল রেজিস্ট্রেশন ০৯৬১০-০১০৬১৬ 09610-010616 সার্টিফিকেট সংক্রান্ত 01790540211124562 যোগাযোগ করতে হলে01790-540211অথবা 01790-541111 নম্বরে যোগাযোগ করতে হবে 01790540211, +8801790540211, ০১৭৯০৫৪০২১১, +৮৮০১৭৯০৫৪০২১১","জিরো নাইন সিক্স ওয়ান টু থ্রি ফোর ফাইভ সিক্স সেভেন এইট ডিজিটাল এক ছয় দুই দুই দুই রেজিস্ট্রেশন জিরো নাইন সিক্স ওয়ান টু থ্রি ফোর ফাইভ সিক্স সেভেন এইট, ডিজিটাল রেজিস্ট্রেশন জিরো নাইন সিক্স ওয়ান ডাবল জিরো ওয়ান জিরো সিক্স ওয়ান সিক্স জিরো নাইন সিক্স ওয়ান ডাবল জিরো ওয়ান জিরো সিক্স ওয়ান সিক্স সার্টিফিকেট সংক্রান্ত জিরো ওয়ান সেভেন নাইন জিরো ফাইভ ফোর জিরো টু ডাবল ওয়ান এক লক্ষ চব্বিশ হাজার পাঁচশো বাষট্টি যোগাযোগ করতে হলে জিরো ওয়ান সেভেন নাইন জিরো ফাইভ ফোর জিরো টু ডাবল ওয়ান অথবা জিরো ওয়ান সেভেন নাইন জিরো ফাইভ ফোর ট্রিপল ওয়ান ওয়ান নম্বরে যোগাযোগ করতে হবে জিরো ওয়ান সেভেন নাইন জিরো ফাইভ ফোর জিরো টু ডাবল ওয়ান, প্লাস ডাবল এইট জিরো ওয়ান সেভেন নাইন জিরো ফাইভ ফোর জিরো টু ডাবল ওয়ান, জিরো ওয়ান সেভেন নাইন জিরো ফাইভ ফোর জিরো টু ডাবল ওয়ান, প্লাস ডাবল এইট জিরো ওয়ান সেভেন নাইন জিরো ফাইভ ফোর জিরো টু ডাবল ওয়ান",False,"['09612345678ডিজিটাল 1 6 2 2 2 রেজিস্ট্রেশন০৯৬১২৩৪৫৬৭৮,', '০৯৬১০-০১০৬১৬ 09610-010616', '01790540211124562', 'হলে01790-540211অথবা 01790-541111', '01790540211, +8801790540211, ০১৭৯০৫৪০২১১, +৮৮০১৭৯০৫৪০২১১']","['জিরো নাইন সিক্স ওয়ান টু থ্রি ফোর ফাইভ সিক্স সেভেন এইট ডিজিটাল এক ছয় দুই দুই দুই রেজিস্ট্রেশন জিরো নাইন সিক্স ওয়ান টু থ্রি ফোর ফাইভ সিক্স সেভেন এইট,', 'জিরো নাইন সিক্স ওয়ান ডাবল জিরো ওয়ান জিরো সিক্স ওয়ান সিক্স জিরো নাইন সিক্স ওয়ান ডাবল জিরো ওয়ান জিরো সিক্স ওয়ান সিক্স', 'জিরো ওয়ান সেভেন নাইন জিরো ফাইভ ফোর জিরো টু ডাবল ওয়ান এক লক্ষ চব্বিশ হাজার পাঁচশো বাষট্টি', 'হলে জিরো ওয়ান সেভেন নাইন জিরো ফাইভ ফোর জিরো টু ডাবল ওয়ান অথবা জিরো ওয়ান সেভেন নাইন জিরো ফাইভ ফোর ট্রিপল ওয়ান ওয়ান', 'জিরো ওয়ান সেভেন নাইন জিরো ফাইভ ফোর জিরো টু ডাবল ওয়ান, প্লাস ডাবল এইট জিরো ওয়ান সেভেন নাইন জিরো ফাইভ ফোর জিরো টু ডাবল ওয়ান, জিরো ওয়ান সেভেন নাইন জিরো ফাইভ ফোর জিরো টু ডাবল ওয়ান, প্লাস ডাবল এইট জিরো ওয়ান সেভেন নাইন জিরো ফাইভ ফোর জিরো টু ডাবল ওয়ান']"
যোগাযোগ করতে হলে01790540211অথবা,যোগাযোগ করতে হলে জিরো ওয়ান সেভেন নাইন জিরো ফাইভ ফোর জিরো টু ডাবল ওয়ান অথবা,False,['হলে01790540211অথবা'],['হলে জিরো ওয়ান সেভেন নাইন জিরো ফাইভ ফোর জিরো টু ডাবল ওয়ান অথবা']
যোগাযোগ করতে হলে01790-540211অথবা,যোগাযোগ করতে হলে জিরো ওয়ান সেভেন নাইন জিরো ফাইভ ফোর জিরো টু ডাবল ওয়ান অথবা,False,['হলে01790-540211অথবা'],['হলে জিরো ওয়ান সেভেন নাইন জিরো ফাইভ ফোর জিরো টু ডাবল ওয়ান অথবা']
" জরুরী বিতরণে ফি ৮,৬২৫.৬২৫ টাকা",জরুরী বিতরণে ফি আট হাজার ছয়শো পঁচিশ দশমিক ছয় দুই পাঁচ টাকা,False,"['৮,৬২৫.৬২৫']",['আট হাজার ছয়শো পঁচিশ দশমিক ছয় দুই পাঁচ']
দাঃবাঃ আমাদের প্রধান অতিথি,দামাত বারাকাতুল্লাহ আমাদের প্রধান অতিথি,False,['দাঃবাঃ'],['দামাত বারাকাতুল্লাহ']
মোসা: রুবিনা ভালো রান্না করেন,মোসা রুবিনা ভালো রান্না করেন,False,['মোসা:'],['মোসা']
রাশিয়ায় ₽৭০০ ব্যয় করেছি,রাশিয়ায় সাতশো রুবেল ব্যয় করেছি,False,['₽৭০০'],['সাতশো রুবেল']
আমার কাছে £৫০০ এবং €৩০০ আছে,আমার কাছে পাঁচশো পাউন্ড এবং তিনশো ইউরো আছে,False,"['£৫০০', '€৩০০']","['পাঁচশো পাউন্ড', 'তিনশো ইউরো']"
"আমি ৳১০,০০০ ব্যয় করেছি""","আমি দশ হাজার টাকা ব্যয় করেছি""",False,"['৳১০,০০০']",['দশ হাজার টাকা']
আ: রহমান আমাদের বন্ধু,আব্দুর রহমান আমাদের বন্ধু,False,['আ:'],['আব্দুর']
মোসাঃ রুবিনা ভালো রান্না করেন,মোসাম্মত রুবিনা ভালো রান্না করেন,False,['মোসাঃ'],['মোসাম্মত']
শাইখ দাঃবাঃ আমাদের মসজিদে আসবেন,শাইখ দামাত বারাকাতুল্লাহ আমাদের মসজিদে আসবেন,False,['দাঃবাঃ'],['দামাত বারাকাতুল্লাহ']
আমার দাদা মোসাঃ খাতুন খুব ভালো মানুষ ছিলেন,আমার দাদা মোসাম্মত খাতুন খুব ভালো মানুষ ছিলেন,False,['মোসাঃ'],['মোসাম্মত']
দাঃবাঃ আমাদের প্রধান অতিথি,দামাত বারাকাতুল্লাহ আমাদের প্রধান অতিথি,False,['দাঃবাঃ'],['দামাত বারাকাতুল্লাহ']
আ: রহমান আমাদের বন্ধু,আব্দুর রহমান আমাদের বন্ধু,False,['আ:'],['আব্দুর']
মো: রিয়াদ ভালো ছাত্র,মোহাম্মদ রিয়াদ ভালো ছাত্র,False,['মো:'],['মোহাম্মদ']
আজকের তাপমাত্রা ৪৪°F,আজকের তাপমাত্রা চুয়াল্লিশ ডিগ্রী ফারেনহাইট,False,['৪৪°F'],['চুয়াল্লিশ ডিগ্রী ফারেনহাইট']
আজকের তাপমাত্রা৪৪°F,আজকের তাপমাত্রা চুয়াল্লিশ ডিগ্রী ফারেনহাইট,False,['তাপমাত্রা৪৪°F'],['তাপমাত্রা চুয়াল্লিশ ডিগ্রী ফারেনহাইট']
মো: কাশেম একজন সফল ব্যবসায়ী,মোহাম্মদ কাশেম একজন সফল ব্যবসায়ী,False,['মো:'],['মোহাম্মদ']
"তিনি পঞ্চাশ পারসেন্ট ছাড় পাচ্ছেন আজকের অফারে।""","তিনি পঞ্চাশ পারসেন্ট ছাড় পাচ্ছেন আজকের অফারে। """,False,"['অফারে।""']","['অফারে। ""']"
আমার কাছে £৫০০ এবং €৩০০ আছে,আমার কাছে পাঁচশো পাউন্ড এবং তিনশো ইউরো আছে,False,"['£৫০০', '€৩০০']","['পাঁচশো পাউন্ড', 'তিনশো ইউরো']"
এই বিলটি ₽৫০০০ এর,এই বিলটি পাঁচ হাজার রুবেল এর,False,['₽৫০০০'],['পাঁচ হাজার রুবেল']
এই বিলটি ₽5000 এর,এই বিলটি পাঁচ হাজার রুবেল এর,False,['₽5000'],['পাঁচ হাজার রুবেল']
রাশিয়ায় ₽৭০০ ব্যয় করেছি,রাশিয়ায় সাতশো রুবেল ব্যয় করেছি,False,['₽৭০০'],['সাতশো রুবেল']
"রাশিয়ায় ₽5000 ব্যয় করেছি""","রাশিয়ায় পাঁচ হাজার রুবেল ব্যয় করেছি""",False,['₽5000'],['পাঁচ হাজার রুবেল']
এই পণ্যটির মূল্য $25.50 লাখ,"এই পণ্যটির মূল্য পঁচিশ দশমিক পাঁচ শূন্য লাখ ডলার, ",False,['$25.50'],"['পঁচিশ দশমিক পাঁচ শূন্য', 'ডলার,']"
আমার কাছে ৳৫০০ আছে,আমার কাছে পাঁচশো টাকা আছে,False,['৳৫০০'],['পাঁচশো টাকা']
সে £১০০ ধার নিয়েছে,সে একশো পাউন্ড ধার নিয়েছে,False,['£১০০'],['একশো পাউন্ড']
রাশিয়ায় ₽৭০০ ব্যয় করেছি,রাশিয়ায় সাতশো রুবেল ব্যয় করেছি,False,['₽৭০০'],['সাতশো রুবেল']
তুরস্কে ₺৩০০ দিয়ে কেনাকাটা করলাম,তুরস্কে তিনশো লিরা দিয়ে কেনাকাটা করলাম,False,['₺৩০০'],['তিনশো লিরা']
"আমি ৳১০,০০০ ব্যয় করেছি",আমি দশ হাজার টাকা ব্যয় করেছি,False,"['৳১০,০০০']",['দশ হাজার টাকা']
"ব্যাংকে ₹২৫,০০০ জমা দিয়েছি",ব্যাংকে পঁচিশ হাজার রুপি জমা দিয়েছি,False,"['₹২৫,০০০']",['পঁচিশ হাজার রুপি']
তিনি ₹১০ লাখ দান করেছেন,"তিনি দশ লাখ রুপি, দান করেছেন",False,['₹১০'],"['দশ', 'রুপি,']"
দোকানে ¥১৫০০ খরচ করলাম,দোকানে এক হাজার পাঁচশো ইয়েন খরচ করলাম,False,['¥১৫০০'],['এক হাজার পাঁচশো ইয়েন']
সে ₺৭৫০ দিয়ে পোশাক কিনেছে,সে সাতশো পঞ্চাশ লিরা দিয়ে পোশাক কিনেছে,False,['₺৭৫০'],['সাতশো পঞ্চাশ লিরা']
"আমাদের কোম্পানি ৳৫,০০,০০০ বিনিয়োগ করেছে",আমাদের কোম্পানি পাঁচ লক্ষ টাকা বিনিয়োগ করেছে,False,"['৳৫,০০,০০০']",['পাঁচ লক্ষ টাকা']
"এই বইটির মূল্য $15""","এই বইটির মূল্য পনেরো ডলার """,False,"['$15""']","['পনেরো ডলার ""']"
আমার উচ্চতা ১৭০ সেমি,আমার উচ্চতা একশো সত্তর সেন্টিমিটার,False,['১৭০ সেমি'],['একশো সত্তর সেন্টিমিটার']
"প্রদর্শনীটি চলার কথা ছিল ১২ মে পর্যন্ত, তবে দর্শকদের ব্যাপক আগ্রহের কারণে তিন দিন সময় বাড়িয়ে ১৫ মে পর্যন্ত করা হয়েছিল ১৫.১৫","প্রদর্শনীটি চলার কথা ছিল বারো মে পর্যন্ত, তবে দর্শকদের ব্যাপক আগ্রহের কারণে তিন দিন সময় বাড়িয়ে পনেরো মে পর্যন্ত করা হয়েছিল পনেরো দশমিক এক পাঁচ ",False,"['১২', '১৫', '১৫.১৫']","['বারো', 'পনেরো', 'পনেরো দশমিক এক পাঁচ']"
"এটা.. খুব.. জরুরি!!""","এটা . খুব . জরুরি! """,False,"['এটা..', 'খুব..', 'জরুরি!!""']","['এটা .', 'খুব .', 'জরুরি! ""']"
তারা একসাথে আছে...,তারা একসাথে আছে . ,False,['আছে...'],['আছে .']
আমি পড়তে ভালোবাসি...,আমি পড়তে ভালোবাসি . ,False,['ভালোবাসি...'],['ভালোবাসি .']
সেখানে একটি বাড়ি আছে...,সেখানে একটি বাড়ি আছে . ,False,['আছে...'],['আছে .']
আমি এটা পছন্দ করি না...,আমি এটা পছন্দ করি না . ,False,['না...'],['না .']
আমি খুব খুশি!!!,আমি খুব খুশি!,False,['খুশি!!!'],['খুশি!']
এটি একটি #টেকনোলজি কনফারেন্স।,এটি একটি টেকনোলজি কনফারেন্স।,False,['#টেকনোলজি'],['টেকনোলজি']
"দয়া !@করে #পবিত্র &)কুরআনুল *কারিম বলেন,,,,পবিত্র কথাটা অবশ্যই বলবেন,,, প্লিজ","দয়া! এট দা রেট করে পবিত্র এবং কুরআনুল *কারিম বলেন, পবিত্র কথাটা অবশ্যই বলবেন, প্লিজ",False,"['দয়া', '!@করে', '#পবিত্র', '&)কুরআনুল', 'বলেন,,,,পবিত্র', 'বলবেন,,,']","['দয়া!', 'এট দা রেট', 'করে', 'পবিত্র এবং', 'কুরআনুল', 'বলেন, পবিত্র', 'বলবেন,']"
"মার্চ ২৫, 1996 তারিখের কনসার্ট টিকেটগুলি দ্রুত বিক্রয় হচ্ছে",মার্চ পঁচিশ উনিশশো ছিয়ানব্বই তারিখের কনসার্টটিকেটগুলি দ্রুত বিক্রয় হচ্ছে,False,"['২৫, 1996', 'কনসার্ট টিকেটগুলি']","['পঁচিশ উনিশশো ছিয়ানব্বই', 'কনসার্টটিকেটগুলি']"
মার্চ ২৫% তারিখের কনসার্ট টিকেটগুলি দ্রুত বিক্রয় হচ্ছে,মার্চ পঁচিশ পারসেন্ট তারিখের কনসার্টটিকেটগুলি দ্রুত বিক্রয় হচ্ছে,False,"['২৫%', 'কনসার্ট টিকেটগুলি']","['পঁচিশ পারসেন্ট', 'কনসার্টটিকেটগুলি']"
র‍্যাব,র‍্যাব,True,[],[]
বাংলা​,বাংলা​,True,[],[]
র‍্য,র‍্য,True,[],[]
ম‍ধ্য,মধ্য,False,['ম\u200dধ্য'],['মধ্য']
তিনি একটি মেল পাঠিয়েছেন @example.com।,তিনি একটি মেল পাঠিয়েছেন এট দা রেট example ডট কম ।,False,['@example.com।'],['এট দা রেট example ডট কম ।']
১৯৯৬সালের ৬ সেপ্টেম্বররণ ভ্রমণ পরিকল্পনা করছি ২০৩০সালের ৬সেপ্টেম্বর দুর্নীতির মাধ্যমে অর্জিত আয়ের উৎস গোপনের জন্য নিজের নামসহ তাঁর আত্মীয়স্বজনের নামে ৭০০০টির বেশি হিসাব খোলেন,উনিশশো ছিয়ানব্বই সালের ছয় সেপ্টেম্বররণ ভ্রমণ পরিকল্পনা করছি দুই হাজার ত্রিশ সালের ছয় সেপ্টেম্বর দুর্নীতির মাধ্যমে অর্জিত আয়ের উৎস গোপনের জন্য নিজের নামসহ তাঁর আত্মীয়স্বজনের নামে সাত হাজারটির বেশি হিসাব খোলেন,False,"['১৯৯৬সালের ৬', '২০৩০সালের', '৬সেপ্টেম্বর', '৭০০০টির']","['উনিশশো ছিয়ানব্বই সালের ছয়', 'দুই হাজার ত্রিশ সালের ছয়', 'সেপ্টেম্বর', 'সাত হাজারটির']"
১৯৮৭-র ১৯৯৫ সালে,উনিশশো সাতাশি এর উনিশশো পঁচানব্বই সালে,False,['১৯৮৭-র ১৯৯৫'],['উনিশশো সাতাশি এর উনিশশো পঁচানব্বই']
এয়ারলাইনসসহ তিনটি এয়ারলাইনসের ৫১টি ফ্লাইটে মো: ২০ হাজার ২৯১ জন হজযাত্রী সৌদি আরবে গেছেন। এ বছর হজ করতে ৮৫ হাজার ২৫৭ জনের সৌদি আরবে যাওয়ার কথা রয়েছে,এয়ারলাইনসসহ তিনটি এয়ারলাইনসের একান্নটি ফ্লাইটে মোহাম্মদ বিশ হাজার দুইশো একানব্বই জন হজযাত্রী সৌদি আরবে গেছেন। এ বছর হজ করতে পঁচাশি হাজার দুইশো সাতান্ন জনের সৌদি আরবে যাওয়ার কথা রয়েছে,False,"['৫১টি', 'মো: ২০', '২৯১', '৮৫', '২৫৭']","['একান্নটি', 'মোহাম্মদ বিশ', 'দুইশো একানব্বই', 'পঁচাশি', 'দুইশো সাতান্ন']"
"উদাহরণস্বরূপ, 1969-2024 আপনার মোটরযানের রেজিস্ট্রেশন নাম্বার ঢাকা মেট্রো-গ-12-1212  চট্টগ্রাম-গ-12-1212 এবং টাকা জমা রশিদের ট্রানজেকশন নাম্বার 2001011325989 চট্ট-গ-12-1212""","উদাহরণস্বরূপ, এক হাজার নয়শো ঊনসত্তর - দুই হাজার চব্বিশ আপনার মোটরযানের রেজিস্ট্রেশন নাম্বার ঢাকা মেট্রো গ বারো দশমিক এক দুই এক দুই চট্টগ্রাম গ বারো দশমিক এক দুই এক দুই এবং টাকা জমা রশিদের ট্রানজেকশন নাম্বার দুই লক্ষ একশো এক কোটি তেরো লক্ষ পঁচিশ হাজার নয়শো ঊননব্বই চট্ট গ বারো দশমিক এক দুই এক দুই""",False,"['1969-2024', 'মেট্রো-গ-12-1212 চট্টগ্রাম-গ-12-1212', '2001011325989 চট্ট-গ-12-1212""']","['এক হাজার নয়শো ঊনসত্তর - দুই হাজার চব্বিশ', 'মেট্রো গ বারো দশমিক এক দুই এক দুই চট্টগ্রাম গ বারো দশমিক এক দুই এক দুই', 'দুই লক্ষ একশো এক কোটি তেরো লক্ষ পঁচিশ হাজার নয়শো ঊননব্বই চট্ট গ বারো দশমিক এক দুই এক দুই""']"
"""1199 সালের ৬ সেপ্টেম্বর তারিখে পারিবারিক অনুষ্ঠান হবে।""","""এগারোশো নিরানব্বই সালের ছয় সেপ্টেম্বর তারিখে পারিবারিক অনুষ্ঠান হবে। """,False,"['""1199', '৬', 'হবে।""']","['""এগারোশো নিরানব্বই', 'ছয়', 'হবে। ""']"
"""১২৩৪ সালের ১৫ মার্চ,  ভ্রমণ পরিকল্পনা করছি।""","""বারোশো চৌত্রিশ সালের পনেরো মার্চ, ভ্রমণ পরিকল্পনা করছি। """,False,"['""১২৩৪', '১৫', 'করছি।""']","['""বারোশো চৌত্রিশ', 'পনেরো', 'করছি। ""']"
"""১৩০০ সালের ১ জুলাই নতুন ঘর উদ্বোধন করা হবে।""","""তেরোশো সালের এক জুলাই নতুন ঘর উদ্বোধন করা হবে। """,False,"['""১৩০০', '১', 'হবে।""']","['""তেরোশো', 'এক', 'হবে। ""']"
"""১৩৯৯ সালের ২৮ জানুয়ারি একটি ঐতিহাসিক ঘটনার স্মরণ করা হবে।""","""তেরোশো নিরানব্বই সালের আঠাশ জানুয়ারি একটি ঐতিহাসিক ঘটনার স্মরণ করা হবে। """,False,"['""১৩৯৯', '২৮', 'হবে।""']","['""তেরোশো নিরানব্বই', 'আঠাশ', 'হবে। ""']"
"""১৪৫৬ সালের ১০ মে,  আমার দাদার জন্মবার্ষিকী উদযাপন করব।""","""চৌদ্দশো ছাপ্পান্ন সালের দশ মে, আমার দাদার জন্মবার্ষিকী উদযাপন করব। """,False,"['""১৪৫৬', '১০', 'করব।""']","['""চৌদ্দশো ছাপ্পান্ন', 'দশ', 'করব। ""']"
"""১৫০০ সালের ২৮ ফেব্রুয়ারি একটি নাট্য মঞ্চস্থ করা হবে।""","""পনেরোশো সালের আঠাশ ফেব্রুয়ারি একটি নাট্য মঞ্চস্থ করা হবে। """,False,"['""১৫০০', '২৮', 'হবে।""']","['""পনেরোশো', 'আঠাশ', 'হবে। ""']"
"""১৬৭৮ সালের ১২ আগস্ট,  বিশেষ সভা অনুষ্ঠিত হতে যাচ্ছে।""","""ষোলশো আটাত্তর সালের বারো আগস্ট, বিশেষ সভা অনুষ্ঠিত হতে যাচ্ছে। """,False,"['""১৬৭৮', '১২', 'যাচ্ছে।""']","['""ষোলশো আটাত্তর', 'বারো', 'যাচ্ছে। ""']"
"""১৭৫৯ সালের ৫ ডিসেম্বর পিকনিক অনুষ্ঠানের আয়োজন আছে।""","""সতেরোশো ঊনষাট সালের পাঁচ ডিসেম্বর পিকনিক অনুষ্ঠানের আয়োজন আছে। """,False,"['""১৭৫৯', '৫', 'আছে।""']","['""সতেরোশো ঊনষাট', 'পাঁচ', 'আছে। ""']"
"""১৮৩০ সালের ২০ এপ্রিল,  সামাজিক সমাবেশের কথা ভেবেছি।""","""আঠারোশো ত্রিশ সালের বিশ এপ্রিল, সামাজিক সমাবেশের কথা ভেবেছি। """,False,"['""১৮৩০', '২০', 'ভেবেছি।""']","['""আঠারোশো ত্রিশ', 'বিশ', 'ভেবেছি। ""']"
"""১৯০১ সালের ৭ অক্টোবরে বইমেলা শুরু হবে।""","""উনিশশো এক সালের সাত অক্টোবরে বইমেলা শুরু হবে। """,False,"['""১৯০১', '৭', 'হবে।""']","['""উনিশশো এক', 'সাত', 'হবে। ""']"
"""১৯২০ সালের ২৫ জুন বিশেষ ওয়ার্কশপ পরিকল্পনা করছি।""","""উনিশশো বিশ সালের পঁচিশ জুন বিশেষ ওয়ার্কশপ পরিকল্পনা করছি। """,False,"['""১৯২০', '২৫', 'করছি।""']","['""উনিশশো বিশ', 'পঁচিশ', 'করছি। ""']"
"""১৯৪৫ সালের ১৯ জানুয়ারি বিশ্বযুদ্ধ-পরবর্তী আলোচনা হবে।""","""উনিশশো পঁয়তাল্লিশ সালের উনিশ জানুয়ারি বিশ্বযুদ্ধ পরবর্তী আলোচনা হবে। """,False,"['""১৯৪৫', '১৯', 'বিশ্বযুদ্ধ-পরবর্তী', 'হবে।""']","['""উনিশশো পঁয়তাল্লিশ', 'উনিশ', 'বিশ্বযুদ্ধ পরবর্তী', 'হবে। ""']"
"""১৯৮৮ সালের ৩০ নভেম্বর আমার জন্মদিনের অনুষ্ঠান আছে।""","""উনিশশো আটাশি সালের ত্রিশ নভেম্বর আমার জন্মদিনের অনুষ্ঠান আছে। """,False,"['""১৯৮৮', '৩০', 'আছে।""']","['""উনিশশো আটাশি', 'ত্রিশ', 'আছে। ""']"
"""১৯৯৯ সালের ১৫ সেপ্টেম্বর একটি কনসার্ট অনুষ্ঠিত হবে।"" ","""উনিশশো নিরানব্বই সালের পনেরো সেপ্টেম্বর একটি কনসার্ট অনুষ্ঠিত হবে। """,False,"['""১৯৯৯', '১৫', 'হবে।""']","['""উনিশশো নিরানব্বই', 'পনেরো', 'হবে। ""']"
